topic,score1,score2,score3,score4,score5
102006,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]"
103001,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]","[2, 3, 3, 3, 3]","[3, 4, 4, 3, 4]"
103002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
103003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 4, 2, 3]","[2, 3, 2, 3, 3]"
103004,"[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
103005,"[4, 4, 4, 4, 4]","[4, 4, 5, 5, 5]","[4, 4, 5, 5, 5]","[3, 4, 5, 4, 4]","[3, 4, 4, 4, 4]"
103006,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
104001,"[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]"
104002,"[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]","[2, 2, 3, 2, 3]","[2, 3, 2, 3, 3]","[2, 2, 2, 2, 2]"
104003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]"
104004,"[2, 3, 3, 3, 3]","[2, 2, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
104005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 2, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
104006,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 3, 2, 3, 3]"
105001,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 4, 4]"
105002,"[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 1, 2, 2]"
105003,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 3, 2, 2, 2]","[1, 2, 2, 2, 2]"
105004,"[1, 1, 1, 1, 1]","[1, 2, 1, 2, 2]","[1, 1, 1, 1, 1]","[1, 1, 2, 2, 2]","[1, 2, 1, 1, 2]"
105005,"[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]","[1, 2, 1, 1, 2]","[2, 3, 3, 2, 3]","[2, 3, 2, 3, 3]"
105006,"[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 3, 2, 3, 3]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]"
106001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 4]"
106002,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 4]"
106003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
106004,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]"
106005,"[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]"
106006,"[3, 4, 3, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]"
107001,"[2, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[4, 4, 5, 4, 4]"
107002,"[2, 3, 4, 3, 3]","[2, 4, 3, 3, 3]","[1, 2, 2, 3, 2]","[2, 4, 3, 3, 3]","[2, 3, 2, 3, 3]"
107003,"[3, 3, 4, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[3, 3, 3, 3, 3]","[3, 4, 4, 4, 4]"
107004,"[1, 4, 4, 4, 4]","[5, 5, 5, 5, 5]","[5, 4, 5, 5, 5]","[2, 4, 4, 4, 4]","[5, 3, 5, 5, 4]"
107005,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[4, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
107006,"[4, 5, 5, 5, 5]","[4, 5, 4, 5, 5]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
108001,"[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]"
108002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
108003,"[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
108004,"[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]"
108005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
108006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 4, 4, 3]"
109001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
109002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
109003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]"
109004,"[2, 3, 3, 2, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]"
109005,"[1, 1, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 3, 2, 3]","[2, 2, 1, 2, 2]","[2, 2, 3, 2, 3]"
109006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
110001,"[2, 3, 3, 3, 3]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[2, 4, 4, 3, 4]"
110002,"[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
110003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 2, 3, 2, 2]"
110004,"[2, 4, 3, 3, 3]","[3, 4, 4, 3, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[3, 4, 3, 4, 4]"
110005,"[2, 4, 3, 3, 4]","[2, 4, 3, 3, 4]","[2, 4, 3, 3, 4]","[2, 3, 4, 3, 3]","[2, 3, 3, 3, 3]"
110006,"[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]"
111001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]"
111002,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 4, 3, 3, 3]"
111003,"[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 1, 1, 2]","[1, 2, 1, 1, 2]"
111004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]"
111005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 4, 3]","[2, 3, 3, 3, 3]"
111006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
112001,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 4, 4, 4]"
112002,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[2, 4, 3, 4, 4]"
112003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
112004,"[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]","[3, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 3, 4, 3, 3]"
112005,"[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
112006,"[3, 4, 4, 4, 4]","[4, 5, 4, 4, 5]","[4, 5, 5, 5, 5]","[3, 5, 4, 3, 4]","[4, 5, 4, 4, 5]"
113001,"[2, 3, 4, 3, 3]","[2, 3, 4, 4, 4]","[2, 3, 3, 4, 3]","[1, 3, 3, 3, 3]","[3, 4, 3, 4, 4]"
113002,"[1, 2, 3, 2, 2]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 3, 2, 3, 3]"
113003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 3, 3]","[2, 3, 3, 3, 3]"
113004,"[2, 3, 4, 4, 3]","[2, 4, 4, 4, 4]","[2, 3, 4, 3, 3]","[2, 4, 4, 3, 4]","[3, 4, 4, 4, 4]"
113005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 4, 3, 3]"
113006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
114001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 2, 2]","[1, 1, 2, 1, 2]","[1, 1, 1, 1, 1]"
114002,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]","[1, 2, 2, 2, 2]"
114003,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 2, 1, 1]"
114004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]"
114005,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]","[1, 2, 1, 2, 2]","[1, 2, 2, 2, 2]"
114006,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 2, 2, 2]","[1, 1, 1, 1, 1]","[1, 1, 2, 2, 2]"
115001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]"
115002,"[2, 3, 3, 3, 3]","[2, 3, 4, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 4, 3, 3]","[2, 3, 3, 3, 3]"
115003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
115004,"[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 4, 4, 3]","[3, 4, 3, 4, 4]"
115005,"[3, 4, 3, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 3, 3, 4]"
115006,"[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 2, 4, 3]"
116001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
116002,"[4, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[2, 3, 4, 4, 3]","[4, 4, 3, 4, 4]","[2, 3, 3, 3, 3]"
116003,"[2, 3, 4, 3, 3]","[2, 4, 3, 4, 4]","[2, 3, 4, 4, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 4, 4]"
116004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 2, 3, 3, 3]","[3, 4, 3, 3, 4]","[2, 4, 3, 3, 3]"
116005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 4, 3]","[2, 3, 3, 3, 3]","[3, 4, 3, 3, 4]"
116006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 2, 2, 2, 2]"
117001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
117002,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
117003,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
117004,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[2, 3, 3, 3, 3]"
117005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
117006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 2]"
118001,"[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 1, 1]"
118002,"[3, 4, 3, 3, 4]","[2, 3, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 3, 3, 4]"
118003,"[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]","[1, 3, 2, 2, 2]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
118004,"[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 1, 1, 2]"
118005,"[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]"
118006,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[4, 5, 4, 4, 5]","[3, 4, 4, 4, 4]"
119001,"[3, 4, 4, 4, 4]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]"
119002,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
119003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
119004,"[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 3, 3, 4, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]"
119005,"[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 4, 3, 3, 4]"
119006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 3, 4]"
120001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
120002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 2, 2, 3]"
120003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[1, 3, 3, 2, 3]"
120004,"[2, 3, 2, 2, 3]","[2, 3, 3, 2, 3]","[2, 2, 2, 2, 2]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]"
120005,"[2, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[1, 2, 1, 2, 2]","[2, 3, 2, 2, 3]","[2, 2, 1, 2, 2]"
120006,"[2, 4, 3, 3, 3]","[1, 2, 3, 3, 3]","[1, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[4, 3, 4, 3, 3]"
121001,"[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]"
121002,"[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 1, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]"
121003,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
121004,"[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 2, 3, 3]","[2, 3, 2, 3, 3]","[1, 3, 2, 2, 2]"
121005,"[1, 2, 2, 2, 2]","[1, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 1, 1]","[2, 2, 2, 2, 2]"
121006,"[1, 2, 1, 1, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]","[1, 2, 2, 1, 2]","[1, 2, 2, 2, 2]"
122001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 1, 1]","[1, 2, 2, 1, 2]"
122002,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]"
122003,"[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 3, 3, 2, 3]","[1, 2, 2, 2, 2]"
122004,"[2, 2, 3, 2, 3]","[1, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]"
122005,"[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 3, 4]","[2, 3, 3, 2, 3]"
122006,"[1, 2, 2, 2, 2]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[2, 1, 2, 2, 2]","[1, 1, 1, 1, 1]"
123001,"[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
123002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
123003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
123004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]"
123005,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
123006,"[1, 2, 2, 2, 2]","[1, 3, 2, 2, 2]","[1, 2, 3, 2, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]"
124001,"[1, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 3, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]"
124002,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 1, 1, 1, 1]"
124003,"[1, 2, 2, 2, 2]","[1, 3, 3, 3, 3]","[1, 3, 2, 2, 2]","[2, 3, 2, 2, 3]","[2, 3, 3, 3, 3]"
124004,"[1, 3, 2, 2, 2]","[2, 3, 2, 3, 3]","[2, 3, 3, 2, 3]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]"
124005,"[1, 3, 2, 2, 2]","[1, 3, 2, 2, 2]","[1, 3, 2, 2, 2]","[1, 3, 2, 3, 3]","[1, 2, 1, 1, 2]"
124006,"[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[2, 3, 3, 2, 3]"
125001,"[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 4, 3, 3]","[3, 4, 3, 3, 4]"
125002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[3, 4, 4, 4, 4]","[2, 3, 3, 3, 3]"
125003,"[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]","[2, 4, 3, 3, 3]"
125004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 4, 3]","[2, 3, 3, 3, 3]"
125005,"[2, 3, 3, 3, 3]","[1, 2, 2, 2, 2]","[1, 2, 3, 2, 2]","[1, 2, 1, 2, 2]","[2, 3, 3, 3, 3]"
125006,"[2, 3, 3, 3, 3]","[3, 4, 3, 4, 4]","[2, 3, 4, 3, 3]","[2, 4, 3, 3, 3]","[2, 4, 3, 3, 4]"
126001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
126002,"[3, 4, 4, 4, 4]","[4, 4, 3, 3, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]","[3, 4, 3, 4, 4]"
126003,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]"
126004,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 1, 1, 1, 1]","[1, 2, 2, 1, 2]"
126005,"[3, 4, 4, 4, 4]","[2, 4, 3, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
126006,"[3, 4, 3, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]"
127001,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 3, 2, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
127002,"[2, 3, 2, 3, 3]","[2, 3, 2, 2, 3]","[2, 3, 2, 2, 3]","[2, 3, 2, 3, 3]","[2, 2, 1, 2, 2]"
127003,"[1, 1, 1, 1, 1]","[1, 2, 2, 1, 2]","[1, 2, 2, 2, 2]","[1, 1, 2, 1, 2]","[1, 1, 1, 1, 1]"
127004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[2, 3, 3, 3, 3]"
127005,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 2, 2]","[1, 2, 2, 2, 2]"
127006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 3, 3, 3]"
128001,"[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]","[3, 4, 4, 4, 4]"
128002,"[3, 4, 3, 3, 4]","[2, 3, 3, 2, 3]","[3, 4, 4, 4, 4]","[3, 4, 4, 3, 4]","[3, 4, 4, 3, 4]"
